,Input length,Translated length,Word Match,Unique input words,Unique translated words,Input words,Translated words,ID
0,10,7,,['hylle'],['hylle'],"['hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle'
 'hylle']","['hylle', 'hylle', 'hylle', 'hylle', 'hylle', 'hylle', 'hylle']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
1,10,9,,['hylle'],['hylle'],"['hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle' 'hylle'
 'hylle']","['hylle', 'hylle', 'hylle', 'hylle', 'hylle', 'hylle', 'hylle', 'hylle', 'hylle']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
2,10,6,,['artist'],['artist'],"['artist' 'artist' 'artist' 'artist' 'artist' 'artist' 'artist' 'artist'
 'artist' 'artist']","['artist', 'artist', 'artist', 'artist', 'artist', 'artist']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
3,10,7,,['artist' 'kart'],"['artist', 'artist?']","['artist' 'artist' 'artist' 'artist' 'artist' 'artist' 'artist' 'artist'
 'artist' 'kart']","['artist', 'artist', 'artist?', 'artist', 'artist', 'artist', 'artist']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
4,10,8,,['kart'],"['kart', 'kart!']",['kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart'],"['kart', 'kart', 'kart', 'kart', 'kart', 'kart', 'kart!', 'kart']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
5,10,8,,['kart' 'syr'],['kart'],['kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'kart' 'syr' 'syr'],"['kart', 'kart', 'kart', 'kart', 'kart', 'kart', 'kart', 'kart']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
6,10,9,,['syr' 'jern'],"['syr', 'jern']",['syr' 'syr' 'syr' 'syr' 'syr' 'syr' 'jern' 'jern' 'jern' 'jern'],"['syr', 'syr', 'syr', 'syr', 'syr', 'jern', 'jern', 'jern', 'jern']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
7,10,7,,['jern'],['jern'],['jern' 'jern' 'jern' 'jern' 'jern' 'jern' 'jern' 'jern' 'jern' 'jern'],"['jern', 'jern', 'jern', 'jern', 'jern', 'jern', 'jern']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
8,10,9,,['jern' 'lytte'],"['jern', 'lytte']","['jern' 'jern' 'jern' 'jern' 'lytte' 'lytte' 'lytte' 'lytte' 'lytte'
 'lytte']","['jern', 'jern', 'jern', 'lytte', 'lytte', 'lytte', 'lytte', 'lytte', 'lytte']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
9,10,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",['lytte' 'barn'],"['lytte', 'barn']","['lytte' 'lytte' 'lytte' 'lytte' 'lytte' 'lytte' 'lytte' 'barn' 'barn'
 'barn']","['lytte', 'lytte', 'lytte', 'lytte', 'lytte', 'lytte', 'lytte', 'barn', 'barn', 'barn']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
10,10,9,,['barn'],['barn'],['barn' 'barn' 'barn' 'barn' 'barn' 'barn' 'barn' 'barn' 'barn' 'barn'],"['barn', 'barn', 'barn', 'barn', 'barn', 'barn', 'barn', 'barn', 'barn']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
11,10,7,,['barn' 'lun'],['barn'],['barn' 'barn' 'barn' 'barn' 'barn' 'barn' 'barn' 'barn' 'lun' 'lun'],"['barn', 'barn', 'barn', 'barn', 'barn', 'barn', 'barn']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
12,10,9,,['lun' 'enhjørning'],"['lun', 'enhjørning']","['lun' 'lun' 'lun' 'enhjørning' 'enhjørning' 'enhjørning' 'enhjørning'
 'enhjørning' 'enhjørning' 'enhjørning']","['lun', 'lun', 'lun', 'enhjørning', 'enhjørning', 'enhjørning', 'enhjørning', 'enhjørning', 'enhjørning']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
13,10,11,,['enhjørning'],['enhjørning'],"['enhjørning' 'enhjørning' 'enhjørning' 'enhjørning' 'enhjørning'
 'enhjørning' 'enhjørning' 'enhjørning' 'enhjørning' 'enhjørning']","['enhjørning', 'enhjørning', 'enhjørning', 'enhjørning', 'enhjørning', 'enhjørning', 'enhjørning', 'enhjørning', 'enhjørning', 'enhjørning', 'enhjørning']","['d05', 'a20', 'd11', 'a28', 'a33', 'a04', 'd07', 'd13', 'd02', 'd10']"
