score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,unique_id's,speaker_id's,audio_name,audio_path,model_name
1,øre sjakk rød planke ødelagt glorie krakk blå grave svart,0.17647058823529413,0.7,ulen sjøkk bly lagt groet krik hva er det du har som lammere,0.7543859649122807,1.3,3,"['d19', 'd16', 'd17', 'd11', 'd13', 'd09']","['d19', 'd19', 'd19', 'd17', 'd17', 'd16', 'd13', 'd11', 'd09', 'd09']",words_0_10.wav,../3x10_Concatenations/3x10_score_1_sorted,Medium
1,korn tjern skulder skjørt støvel pluss sjø grønn horn ugle,0.26881720430107525,1.0,grønn fem enkle,0.8448275862068966,0.9,-7,"['a30', 'd07', 'd08', 'a34']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'a34', 'a30']",words_10_20.wav,../3x10_Concatenations/3x10_score_1_sorted,Medium
2,glorie klo kjerne hylle fregner brun bryter flakse drue krakk,0.3670886075949367,1.0,glåle klul klærne hilla pleinel bluen blytel blokse klul glatt,0.4262295081967213,1.0,0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_0_10.wav,../3x10_Concatenations/3x10_score_2_sorted,Medium
2,skive søppel skøyter trapp skitten løve premie krykke grå søster,0.4050632911392405,1.0,fyne søppen køyter klapp fyrten løve pleme krikke kruer fester,0.328125,0.9,0,"['d19', 'd17', 'd16']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd17', 'd16', 'd16']",words_10_20.wav,../3x10_Concatenations/3x10_score_2_sorted,Medium
2,plystre kvern glorie klem bryter briller drue barn start løve,0.5072463768115942,1.0,prustre kværn klo klem byteg byløg due barn dott løve,0.3114754098360656,0.7,0,"['d15', 'd14', 'd13', 'd16']","['d16', 'd15', 'd14', 'd14', 'd14', 'd14', 'd14', 'd13', 'd13', 'd13']",words_20_30.wav,../3x10_Concatenations/3x10_score_2_sorted,Medium
2,plystre blokk horn søle svømme svart glorie garn blomst blå,0.03896103896103896,0.3,plistre dukk orn skjøl svemmet svart bordet galk bråd bro,0.3898305084745763,0.9,0,"['d10', 'd11', 'd12', 'd09']","['d12', 'd11', 'd10', 'd10', 'd10', 'd10', 'd09', 'd09', 'd09', 'd09']",words_30_40.wav,../3x10_Concatenations/3x10_score_2_sorted,Medium
2,bjørn artist søt terning løve horn glorie glad kikkert børste,0.25274725274725274,1.0,pustasal er så nytt atis søst herlig er det du som ser det løye pone pore tada inket høste,0.9836065573770492,1.9,9,"['d08', 'd09']","['d09', 'd09', 'd09', 'd09', 'd09', 'd08', 'd08', 'd08', 'd08', 'd08']",words_40_50.wav,../3x10_Concatenations/3x10_score_2_sorted,Medium
2,barn flette drue skjema smart vindu tralle munn glorie horn,0.3291139240506329,1.0,far bette trø fjena snart tundel galler hen blåre pull,0.4745762711864407,1.0,0,"['d07', 'd08', 'd06']","['d08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd08', 'd07', 'd06']",words_50_60.wav,../3x10_Concatenations/3x10_score_2_sorted,Medium
2,ugle kurv drikke søle svømme rød artist hjørne hjort glis,0.4044943820224719,1.0,virker det grif trekk søle sønne brød til og tilst hjane hjutt tis,0.5789473684210527,1.2,3,"['d02', 'a34', 'd06', 'd01']","['d06', 'd06', 'd02', 'd02', 'd02', 'd02', 'd01', 'a34', 'a34', 'a34']",words_60_70.wav,../3x10_Concatenations/3x10_score_2_sorted,Medium
2,kort korn klo klem kikkert blokk bart fortid fortau fort,0.504950495049505,1.0,katt kun kru kram sikkert brukk pet fötit fete futt,0.4107142857142857,1.0,0,['a34'],"['a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34', 'a34']",words_70_80.wav,../3x10_Concatenations/3x10_score_2_sorted,Medium
3,frakk hjerne grønn grave grå glitter frø hjerte hjørne hus,0.17647058823529413,0.7,flakk gjerne glenn glave blå littel flott hjerte hjørne lys,0.25862068965517243,0.8,0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_0_10.wav,../3x10_Concatenations/3x10_score_3_sorted,Medium
3,krabbe fortau bror brød bro barn artist ekorn fort flaske,0.26881720430107525,1.0,klubb fortal blod blod blod bond adist hippon foam plastik,0.45614035087719296,1.0,0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_10_20.wav,../3x10_Concatenations/3x10_score_3_sorted,Medium
3,fjorten by drops drikke søster sølv snørr smart sky skjerm,0.3670886075949367,1.0,fjorten b klokse likke sistel sjelm sneld smart kli kjelm,0.3448275862068966,0.8,0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_20_30.wav,../3x10_Concatenations/3x10_score_3_sorted,Medium
3,skjerf skjema svart kran turn trylle troll tre tralle skjære,0.4050632911392405,1.0,kjell krema slott plan tun klolle kloll kli klolle kjell,0.43333333333333335,1.0,0,['d19'],"['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19']",words_30_40.wav,../3x10_Concatenations/3x10_score_3_sorted,Medium
3,mus løpe kurv skip kropp skilpadde sjiraff pluss plaster hjerne,0.5072463768115942,1.0,mur løpe kull slip klamp skillpanna killa pluss plaster gjerne,0.2857142857142857,0.7,0,"['d19', 'd18']","['d19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd19', 'd18']",words_40_50.wav,../3x10_Concatenations/3x10_score_3_sorted,Medium
3,garn horn hus barn fortau drikke sky skjerf kvart skjære,0.03896103896103896,0.3,garn horn hus barn fortar dikke sky kvart kjære,0.17857142857142858,0.4,-1,['d18'],"['d18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18', 'd18']",words_50_60.wav,../3x10_Concatenations/3x10_score_3_sorted,Medium
3,pluss prins hjørne drue sky svart svømme ugle kvern sjakk,0.25274725274725274,1.0,blus prince bjørne druet sjø svart svemmet lykkele tvænn,0.38596491228070173,0.9,-1,"['d18', 'd17']","['d18', 'd18', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17', 'd17']",words_60_70.wav,../3x10_Concatenations/3x10_score_3_sorted,Medium
