score,input_string,translated_string,translated_CER,translated_WER,PER,WER,unique_id's,speaker_id's,length_deviation_words,audio_name,audio_path,model_name
1,krabbe kvart horn sjakk kvern tjern fjorten kurv rød premie,bare rygg for jeg skal klile er det langt unnskyld født 2,0.7627118644067796,1.2,0.08641975308641975,0.4,"['d19', 'a03', 'a11', 'a07', 'a01', 'a13', 'a15', 'd08', 'a06']","['a15', 'a01', 'a06', 'd19', 'a03', 'd08', 'a07', 'a11', 'a07', 'a13']",2,words_0_10.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-base
1,søt drue hjort horn tårn pluss glorie trylle ødelagt terning,garn,0.9333333333333333,1.0,0.1917808219178082,0.9,"['d16', 'd17', 'a11', 'a25', 'a07', 'a13', 'd08']","['a07', 'a07', 'a13', 'a25', 'a07', 'd08', 'd16', 'a07', 'd17', 'a11']",-9,words_10_20.wav,../3x10_Concatenations/3x10_score_1_mixed,NNL-base
2,trapp by ugle glorie søster prins port horn søle trapp,ibs,0.9629629629629629,1.0,0.3493975903614458,1.0,"['a09', 'a02', 'a32', 'a34', 'a10', 'a23', 'a11', 'a13', 'd08']","['a13', 'a32', 'a23', 'a10', 'a09', 'a11', 'a34', 'd08', 'a02', 'a02']",-9,words_0_10.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,skulder krabbe kart briller krone klo garn rund flue frukt,grønn bo skåne ekorn gatene klunet sjekkel,0.7758620689655172,1.0,0.4074074074074074,1.0,"['d19', 'a04', 'a20', 'a21', 'a25', 'a01', 'a13', 'a15', 'd09']","['a15', 'a21', 'a25', 'a01', 'a15', 'd19', 'd09', 'a04', 'a20', 'a13']",-3,words_10_20.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,fortau enhjørning glorie løve enhjørning skjorte hylle bror drikke gul,fri igge skjelm skjelm krabbe love skjeen en sånn til potj,0.8,1.1,0.5057471264367817,1.0,"['d19', 'a20', 'a09', 'a12', 'a01', 'a13', 'a15', 'd09']","['a01', 'a12', 'a01', 'd09', 'a15', 'a20', 'd19', 'a09', 'a13', 'a12']",1,words_20_30.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,huske ørn fugl fortau frakk lærer enhjørning glitter horn flakse,klem,0.953125,1.0,0.02197802197802198,0.2,"['a02', 'a23', 'a07', 'a01', 'a26', 'a13', 'a15']","['a07', 'a13', 'a15', 'a23', 'a01', 'a26', 'a23', 'a07', 'a26', 'a02']",-9,words_30_40.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,troll munn støvel kikkert port glad rund smart flagg skjema,jeg kler den,0.864406779661017,1.0,0.21839080459770116,0.9,"['a30', 'a03', 'a14', 'a11', 'a07', 'a12', 'd08']","['a11', 'a12', 'a03', 'a03', 'a11', 'a30', 'a07', 'a11', 'a14', 'd08']",-7,words_40_50.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,glitter skjema horn kvern klo ugle skøyter brun kvern snørr,det er flaut,0.864406779661017,1.0,0.30158730158730157,1.0,"['d19', 'a30', 'a32', 'a23', 'a11', 'a07', 'a12', 'a08', 'a33']","['a23', 'a07', 'a30', 'a33', 'a32', 'a12', 'd19', 'd19', 'a08', 'a11']",-7,words_50_60.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,snørr blomst sølv garn brå blod briller brun kikkert tre,søppelkorn søppelkorn,0.8392857142857143,1.0,0.4235294117647059,1.0,"['a02', 'a32', 'a16', 'a11', 'a25', 'a12', 'a13', 'a06']","['a02', 'a12', 'a02', 'a06', 'a25', 'a32', 'a12', 'a11', 'a16', 'a13']",-8,words_60_70.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
2,tralle glør klo løve garn gartner skjerm flue erter artist,unker det ja plutselig,0.7931034482758621,1.0,0.5068493150684932,1.0,"['a03', 'd01', 'a21', 'a23', 'a11', 'a25', 'a13', 'a15', 'd08']","['d08', 'a13', 'a11', 'a25', 'a21', 'a23', 'a15', 'a11', 'a03', 'd01']",-6,words_70_80.wav,../3x10_Concatenations/3x10_score_2_mixed,NNL-base
