speaker_id,score,input_string,PER,WER,translated_string,translated_CER,translated_WER,length_deviation_words,audio_name,audio_path,model_name
a01,[4 3 4 3 4 3 3 3 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,barn bær bær blå bær blå,0.6666666666666666,0.8,-4,a01_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a01,[3 2 3 2 3 2 2 5 3 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,bringebjørn bringebjørn,0.7592592592592593,1.0,-8,a01_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a02,[2 4 4 4 3 2 3 4 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,bjørn bjørn bra vei blokk blomst,0.5263157894736842,0.7,-4,a02_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a02,[4 3 4 3 3 3 3 4 3 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,bøsj bødde,0.8518518518518519,1.0,-8,a02_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a03,[3 3 4 2 2 2 2 5 1 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,blåbær blåbær,0.8596491228070176,1.0,-8,a03_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a03,[3 2 3 4 4 3 3 4 2 5],børste briller bro brød bror bryter buss by bygge dør,0.5068493150684932,1.0,brillej bero bror briller bli bli blinky dør,0.5094339622641509,0.8,-2,a03_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a04,[3 4 3 4 5 3 2 3 3 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,barn barn bjørn blå brå brokk brokk bronse bronse,0.42105263157894735,0.7,-1,a04_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a04,[4 3 4 4 4 3 4 4 5 5],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,børste briller bro bred brinn bryter by meg,0.2962962962962963,0.5,-2,a04_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a05,[3 3 4 3 3 2 3 3 3 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,party party leo bra bra brokk brems brems,0.5964912280701754,1.0,-2,a05_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a05,[4 5 4 3 3 4 3 5 4 3],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,brød brød brød grønn brød,0.7037037037037037,0.9,-5,a05_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a06,[3 2 5 2 3 3 5 4 2 3],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,rangst ja nei rangst,0.7719298245614035,1.0,-6,a06_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a06,[4 3 5 3 3 3 2 5 5 4],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,første briller bra bra bra bra bra bra bra,0.4074074074074074,0.9,-1,a06_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a07,[2 3 4 2 2 2 3 3 2 2],artist barn bart bjørn blå blad bleie blokk blomst blyant,0.5057471264367817,1.0,blått blått,0.8596491228070176,1.0,-8,a07_words_0_10.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
a07,[2 2 2 1 2 2 2 5 4 2],børste briller bro brød bror brun bryter buss by bygge,0.5068493150684932,1.0,bestej lille hallo hallo plyten buss bygge,0.5370370370370371,0.8,-3,a07_words_10_20.wav,../3x10_Concatenations/3x10_id_sorted,NNL-tiny
